season,year,round,raceName,driverRef,constructorRef,circuitRef,driverId,constructorId,circuitId,grid,prev_points,prev_wins,driver_prev_podiums,driver_prev_avg_finish,constructor_prev_points,constructor_prev_wins,driver_age
2025,2025,2,Chinese Grand Prix,piastri,mclaren,shanghai,857.0,1,17,1,2.0,0,0,9.0,27.0,1,30.0
2025,2025,2,Chinese Grand Prix,norris,mclaren,shanghai,846.0,1,17,3,25.0,1,1,1.0,27.0,1,30.0
2025,2025,2,Chinese Grand Prix,russell,mercedes,shanghai,847.0,131,17,2,15.0,0,1,3.0,27.0,0,30.0
2025,2025,2,Chinese Grand Prix,max_verstappen,red_bull,shanghai,830.0,9,17,4,18.0,0,1,2.0,18.0,0,30.0
2025,2025,2,Chinese Grand Prix,ocon,haas,shanghai,839.0,210,17,11,0.0,0,0,13.0,0.0,0,30.0
2025,2025,2,Chinese Grand Prix,antonelli,mercedes,shanghai,,131,17,8,12.0,0,0,4.0,27.0,0,30.0
2025,2025,2,Chinese Grand Prix,albon,williams,shanghai,848.0,3,17,10,10.0,0,0,5.0,10.0,0,30.0
2025,2025,2,Chinese Grand Prix,bearman,haas,shanghai,860.0,210,17,17,0.0,0,0,14.0,0.0,0,30.0
2025,2025,2,Chinese Grand Prix,stroll,aston_martin,shanghai,840.0,117,17,14,8.0,0,0,6.0,8.0,0,30.0
2025,2025,2,Chinese Grand Prix,sainz,williams,shanghai,832.0,3,17,15,0.0,0,0,18.0,10.0,0,30.0
2025,2025,2,Chinese Grand Prix,hadjar,rb,shanghai,,215,17,7,0.0,0,0,20.0,0.0,0,30.0
2025,2025,2,Chinese Grand Prix,lawson,red_bull,shanghai,859.0,9,17,20,0.0,0,0,15.0,18.0,0,30.0
2025,2025,2,Chinese Grand Prix,doohan,alpine,shanghai,862.0,214,17,18,0.0,0,0,19.0,0.0,0,30.0
2025,2025,2,Chinese Grand Prix,bortoleto,sauber,shanghai,,15,17,19,0.0,0,0,16.0,6.0,0,30.0
2025,2025,2,Chinese Grand Prix,hulkenberg,sauber,shanghai,807.0,15,17,12,6.0,0,0,7.0,6.0,0,30.0
2025,2025,2,Chinese Grand Prix,tsunoda,rb,shanghai,852.0,215,17,9,0.0,0,0,12.0,0.0,0,30.0
2025,2025,2,Chinese Grand Prix,alonso,aston_martin,shanghai,4.0,117,17,13,0.0,0,0,17.0,8.0,0,30.0
2025,2025,2,Chinese Grand Prix,leclerc,ferrari,shanghai,844.0,6,17,6,4.0,0,0,8.0,5.0,0,30.0
2025,2025,2,Chinese Grand Prix,hamilton,ferrari,shanghai,1.0,6,17,5,1.0,0,0,10.0,5.0,0,30.0
2025,2025,2,Chinese Grand Prix,gasly,alpine,shanghai,842.0,214,17,16,0.0,0,0,11.0,0.0,0,30.0
